câu hỏi,,,,,,,,câu trả lời
cho em hỏi là sau khi chốt đề tài của mình thì data mình tự tìm kiếm ạ,,,,,,,,"Đúng rồi nhé, Khi quá trình chọn đề tài cần cân nhắc xem đã có data có dễ kiếm không theo khả năng của team thì mới chọn. Chứ không nên là chọn rồi mới đi tìm xem đề tài có data hay không"
Vlearn là gì,,,,,,,,"VLearn sẽ là hệ thống học tập đồng hành cùng với bạn xuyên suốt quá trình học. Bạn sẽ dùng Vlearn để theo dõi các bài giảng ở trên lớp, nó có các công cụ để hỗ trợ bạn trong quá trình học."
Download Vlearn ở đâu không,,,,,,,,bạn có thể gõ vlearn.dev 
em hỏi là phần điểm cộng trên lớp Lab/ Lý thuyết có quy đổi sang XP trong discord không ,,,,,,,,"Không nha,  XP là dùng cho hoạt động build để đánh giá tính active của mỗi bạn khi tham gia dự án build đó, còn điểm cộng buổi sáng sẽ được tính cho mỗi ngày học nhé. Điểm nào cũng quan trọng và ảnh hưởng đến kết quả đầu ra á."
"mình đang có nhu cầu book phòng họp riêng trong khuôn viên trường, nhằm phục vụ mục đích họp nhóm để làm dự án. Tuy nhiên, mình không biết ở trường có phương pháp nào để book phòng sử dụng không nhỉ",,,,,,,,bạn có thể đọc cái hdsd book phòng của trg trên outlook
mình có chia sẻ và giải đáp thắc mắc của một số bạn. Nhưng lại không thấy được ghi nhận cộng điểm từ bot,,,,,,,,vấn đề này BTC sẽ cộng chứ không phải bot cộng nhé. Cho nên là có đăng và có value là sẽ được cộng xp khuyến khích nhé
mình muốn tải slide bài giảng lý thuyết trên lớp thì làm thế nào ạ?,,,,,,,, tài liệu này là tài sản nhà trường nên không được tải và share ra ngoài nhé
"Hiện tại sau khi chốt danh sách nhóm thì còn 1 thành viên trong nhóm chưa liên hệ được, có cách nào để liên hệ không ",,,,,,,,Team phải cố gắng chủ động connect thành viên nhé vì BTC cũng không có các kênh liên lạc khác ngoài email.
"Nếu tôi đến muộn bỏ lỡ mất điểm danh đầu giờ , cuối giờ điểm danh bình thường thì có bị tính vắng và trừ vào số buổi nghỉ cho phép hay không.",,,,,,,,Nếu chỉ điểm danh cuối giờ thì sẽ bị tick là không đi học buổi đó. Nhưng mã điểm danh sẽ duy trì khoảng 1 tiếng sau khi giờ học bắt đầu. Nên bạn cố gắng đi sớm nhé.
Nếu đi muộn vì lý do bất ngờ hoặc bất khả kháng thì sao và được đi muộn tối đa trông khoảng thời gian cố định là bao nhiêu,,,,,,,,Nếu là lý do bất khả kháng thì bạn mail cho BTC để phía BTC xét duyệt nhá.
"tôi đi đến nơi thì mới biết rằng mình không mang thiết bị để điểm danh, có cách nào để điểm danh trực tiếp trên lớp không",,,,,,,,Bạn có thể lên để cung cấp thông tin cho lab coach để điểm danh hộ cho bạn nhé. Nhưng bạn hãy để ý để việc quên thiết bị không xảy ra nhé
"Hiện tại tôi có một số lí do bất khả kháng, có lẽ phải nghỉ học hôm nay nhưng tôi không biết cách xin nghỉ thì làm thế nào",,,,,,,,Chào bạn. Bạn nên gửi mail qua hòm thư cho BTC nhé
"Giai đoạn 2 khi chọn 3 định hướng sẽ chia lớp 2 khoá như nào ạ, khác khoá có thể chung lớp khi chung định hướng không ạ?",,,,,,,,khi gần đến giai đoạn phase 2 BTC sẽ thông báo cho mọi người để chọn track cũng như là học ở phòng nào nhé!
Các buổi chiều giai đoạn 2 chúng em sẽ có thêm thời gian Build dự án thì địa điểm vẫn là Vinuni hay được về ạ? Nếu ở Vinuni các team có được ngồi với nhau không hay chia lớp ạ?,,,,,,,,"ở giai đoạn 2 thời gian học là 9h-13h và sau đó mọi người có quyền tự quyết, mình thấy các bạn khóa 1 và khóa 2 hay ở lại thư viện làm build khá nhiều  hoặc mọi người vẫn có thể ngồi tại lớp để làm nhé."
Mọi người cho em hỏi là hiện tại mình đang làm Lab và học lý thuyết trên trang Vlearn. Vậy mình có cần để ý tới việc làm Lab trên trang vinuni.edu.vn nữa không ạ,,,,,,,,bạn nộp bài thực hành trên cả codelab và Vlearn nhé
khi nào sẽ chia người hướng dẫn cho các đội và liên hệ với người hướng dẫn kiểu gì vậy,,,,,,,,"Sau khi tạo nhóm xong, các mentor sẽ được phân vào nhóm trên discord nha. Sẽ có một kênh riêng để liên lạc với mentor nhé"
"tôi muốn hỏi là slide đang học ở trên lớp tôi có thể xem lại ở đâu , ở trên Vlearn tôi thấy slide không giống lắm",,,,,,,,Bạn qua web https://aithucchien.vinuni.edu.vn
